n_tasks,n_samples,x_dim,in_Flat,in_Concat,in_FiLM,in_Hypernetwork,in_Structured,ood_Flat,ood_Concat,ood_FiLM,ood_Hypernetwork,ood_Structured
1,100,5,1.1678016185760498,1.1873747110366821,1.1773345470428467,1.2528557777404785,0.7836546301841736,1.2395046949386597,1.1313635110855103,1.2461453676223755,1.2850483655929565,0.9635482430458069
1,100,20,2.000293016433716,1.7572509050369263,1.7291040420532227,1.7651119232177734,1.782875657081604,3.0917961597442627,2.8618741035461426,2.8569717407226562,3.5185556411743164,2.370911121368408
1,100,50,2.908651828765869,4.720645427703857,1.854093074798584,6.359318733215332,2.890925884246826,3.359008312225342,5.247949123382568,3.5248794555664062,8.011979103088379,4.5428876876831055
1,100,100,8.556037902832031,10.847555160522461,6.697052478790283,9.128575325012207,9.083992004394531,7.327338218688965,8.984968185424805,6.223712921142578,7.700867176055908,8.04532527923584
1,200,5,0.7799546122550964,0.76427161693573,0.719698429107666,0.7927342653274536,0.5150494575500488,1.185700535774231,1.1470366716384888,1.3828359842300415,1.3242899179458618,1.0794368982315063
1,200,20,2.329252004623413,2.293992757797241,2.2553091049194336,2.5292022228240967,1.590595006942749,2.142073631286621,2.1965150833129883,2.046971082687378,2.5099167823791504,1.3888486623764038
1,200,50,4.555718898773193,3.624757766723633,3.3884165287017822,5.318408012390137,5.864735126495361,4.195590019226074,3.2822813987731934,3.1681201457977295,4.757951259613037,4.906619071960449
1,200,100,4.974116325378418,6.269213676452637,4.4975409507751465,4.892203330993652,12.736052513122559,4.9811601638793945,6.958578109741211,4.909003734588623,5.378478050231934,12.478879928588867
1,500,5,1.77384614944458,1.812427043914795,1.7679145336151123,1.7973740100860596,1.0720354318618774,1.324788212776184,1.1982929706573486,1.3286024332046509,1.3826335668563843,0.9100229740142822
1,500,20,1.2402948141098022,1.2481178045272827,1.2431187629699707,1.244400143623352,0.8424880504608154,1.9266284704208374,1.6959760189056396,2.6358954906463623,2.568751335144043,1.3130747079849243
1,500,50,2.5509033203125,2.736689805984497,2.5968940258026123,2.5964736938476562,2.0171682834625244,2.904714345932007,2.785060167312622,3.579759359359741,3.2627029418945312,3.1133248805999756
1,500,100,5.252038955688477,5.276454448699951,5.257040500640869,5.1570844650268555,95.18898010253906,4.605854034423828,4.196839332580566,4.449747085571289,4.4327216148376465,65.94060516357422
1,750,5,0.9689146876335144,0.9750139117240906,0.9736329317092896,0.9666348695755005,0.577494740486145,1.1424113512039185,1.1184359788894653,1.2743699550628662,1.2463124990463257,1.0463814735412598
1,750,20,1.1892902851104736,1.1840418577194214,1.1880642175674438,1.1908867359161377,0.7807512879371643,1.9193848371505737,1.6725324392318726,2.630525827407837,2.510877847671509,1.2558413743972778
1,750,50,2.9388086795806885,2.895404815673828,2.9642910957336426,2.8777339458465576,6.851006984710693,2.7953386306762695,2.809037208557129,2.8773627281188965,3.115274667739868,6.603391647338867
1,750,100,1.6753214597702026,1.7017221450805664,1.604129672050476,1.778015375137329,9.575481414794922,4.42324686050415,3.743382453918457,5.092022895812988,5.124170303344727,20.803953170776367
1,1000,5,1.4186789989471436,1.4128764867782593,1.411657452583313,1.415923833847046,0.9292541146278381,1.2073854207992554,1.1071209907531738,1.2438627481460571,1.271499752998352,0.7939310669898987
1,1000,20,1.2281053066253662,1.242009162902832,1.2307114601135254,1.2458889484405518,0.6687451601028442,1.8547090291976929,1.7006752490997314,1.9473036527633667,1.9493474960327148,1.77182936668396
1,1000,50,1.368973731994629,1.4494074583053589,1.392589807510376,1.4360864162445068,1.0881417989730835,2.8314998149871826,2.7619338035583496,3.0538229942321777,3.0941073894500732,3.116396903991699
1,1000,100,3.2951085567474365,3.5369722843170166,3.114842414855957,3.517172336578369,45.75363540649414,3.7674882411956787,3.7170591354370117,4.120575428009033,4.192075252532959,44.62935256958008
1,2000,5,0.8188464641571045,0.8207800984382629,0.8211281895637512,0.8207538723945618,0.4597284495830536,1.1578906774520874,1.129409670829773,1.2286317348480225,1.3178722858428955,1.6019471883773804
1,2000,20,1.6431437730789185,1.6433053016662598,1.646619439125061,1.6434279680252075,0.8499352931976318,1.713473916053772,1.6776677370071411,2.12389874458313,2.2081856727600098,1.9256198406219482
1,2000,50,1.6778842210769653,1.6686255931854248,1.674919605255127,1.6695935726165771,1.0396863222122192,2.5710127353668213,2.583866834640503,2.7828476428985596,2.796412706375122,2.632796287536621
1,2000,100,3.869614839553833,3.8839306831359863,3.878856658935547,3.8695802688598633,11.074135780334473,3.54971981048584,3.4669177532196045,3.7960281372070312,3.838392734527588,9.57137680053711
10,100,5,1.2250652313232422,1.1524930000305176,1.2266925573349,1.2245806455612183,1.0745500326156616,1.1745127439498901,1.128536343574524,1.2238960266113281,1.2012226581573486,1.1097711324691772
10,100,20,2.3399009704589844,2.7040562629699707,1.9910666942596436,2.8996424674987793,1.5233333110809326,2.3932321071624756,2.837864875793457,2.0740771293640137,3.1361162662506104,1.6160106658935547
10,100,50,2.8432412147521973,4.670363426208496,2.7133002281188965,5.921102046966553,3.2105984687805176,3.160397529602051,5.618066787719727,3.3763790130615234,7.781462669372559,4.01158332824707
10,100,100,7.867790222167969,9.422676086425781,6.79580020904541,9.675780296325684,8.542219161987305,7.271894454956055,8.752446174621582,6.181917190551758,8.999321937561035,7.7428460121154785
10,200,5,0.8564597964286804,0.8379613757133484,0.9048608541488647,0.9411365389823914,0.6112267971038818,1.1418499946594238,1.1083520650863647,1.2639142274856567,1.2183276414871216,0.8296573758125305
10,200,20,2.227405548095703,2.4287009239196777,2.111941337585449,2.808326005935669,1.4308825731277466,2.0943634510040283,2.2411088943481445,2.0678935050964355,2.7349305152893066,1.3891100883483887
10,200,50,2.826054096221924,3.1035168170928955,2.938324451446533,3.4659786224365234,6.062103271484375,2.9715137481689453,3.2866270542144775,3.1735548973083496,3.6443886756896973,6.82168436050415
10,200,100,6.240731239318848,9.157243728637695,6.0524396896362305,7.608057975769043,16.32720947265625,5.54628324508667,7.76569938659668,5.286495208740234,6.609017372131348,12.54577350616455
10,500,5,1.2451850175857544,1.2403435707092285,1.2138125896453857,1.1985018253326416,0.891350269317627,1.1432656049728394,1.1111972332000732,1.0832929611206055,1.0655148029327393,0.7825245261192322
10,500,20,1.5162216424942017,1.5013611316680908,1.4937427043914795,1.535282850265503,1.1453860998153687,1.7138257026672363,1.6281298398971558,1.6174567937850952,1.7479870319366455,1.2508015632629395
10,500,50,2.7693238258361816,2.575460195541382,2.4528965950012207,2.5849575996398926,4.836928367614746,2.8646671772003174,2.7711451053619385,2.6636292934417725,2.72684907913208,5.238889694213867
10,500,100,3.630699872970581,3.9582982063293457,3.928110122680664,4.134279251098633,89.14018249511719,3.7864856719970703,4.085791110992432,4.008113384246826,4.219409942626953,87.93839263916016
10,750,5,1.0184557437896729,1.0094584226608276,1.0122075080871582,1.0209462642669678,0.7603608965873718,1.0562766790390015,1.0479614734649658,1.0507352352142334,1.063194751739502,0.7604105472564697
10,750,20,1.325766682624817,1.2769317626953125,1.2785056829452515,1.3053443431854248,0.9757459759712219,1.6722204685211182,1.607679009437561,1.6047978401184082,1.6371734142303467,1.2260500192642212
10,750,50,2.787066698074341,2.693202257156372,2.6909523010253906,2.7100186347961426,6.282289981842041,2.6677610874176025,2.6237032413482666,2.546039342880249,2.6200339794158936,5.893023490905762
10,750,100,3.291891574859619,3.627138614654541,3.2189972400665283,3.418696641921997,206.51486206054688,3.6157875061035156,3.835343837738037,3.6263651847839355,3.859788179397583,233.17404174804688
10,1000,5,1.123281717300415,1.1160341501235962,1.108046293258667,1.105035424232483,0.8351880311965942,1.0849536657333374,1.061441421508789,1.0507292747497559,1.0494836568832397,0.7795108556747437
10,1000,20,2.016896963119507,2.0682969093322754,1.9789810180664062,2.0211126804351807,1.4537174701690674,1.7465221881866455,1.7148810625076294,1.639760971069336,1.7429184913635254,1.228341817855835
10,1000,50,2.8831095695495605,2.988345146179199,2.827223300933838,2.8500113487243652,7.9426422119140625,2.616422176361084,2.640871047973633,2.4758999347686768,2.5096747875213623,6.9173994064331055
10,1000,100,3.0432403087615967,3.115657329559326,2.938386917114258,3.028736114501953,165.4519500732422,3.4740817546844482,3.6360740661621094,3.4582791328430176,3.506038188934326,186.82180786132812
10,2000,5,1.005111575126648,1.0034301280975342,1.006394624710083,1.0018784999847412,0.7701857089996338,1.0361781120300293,1.034241795539856,1.0338796377182007,1.0374999046325684,0.749519407749176
